Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-March-2023,2932.95,2963.00,2921.00,2950.15,2945.713435913705583756,12608,2120,37139555.00,7244,57.46,42.00,17.20
29-March-2023,2852.00,2948.70,2851.55,2938.35,2909.366587757862698681,11828,1855,34411988.00,3264,27.60,97.15,86.35
28-March-2023,2890.00,2896.25,2835.95,2852.15,2867.393805309734513274,15142,2675,43418077.00,6897,45.55,60.30,-37.85
27-March-2023,2909.00,2920.75,2873.65,2886.15,2895.162015095664384763,5697,1176,16493738.00,1709,30.00,47.10,-22.85
24-March-2023,2925.00,2930.75,2886.10,2908.95,2907.190292648108493932,7005,1285,20364868.00,2318,33.09,44.65,-16.05
23-March-2023,2940.05,2950.00,2913.70,2924.25,2934.496629785069311967,7863,1580,23073947.00,3393,43.15,36.30,-15.80
22-March-2023,2940.05,2967.70,2934.20,2946.65,2946.432540268952268361,6767,823,19938509.00,2323,34.33,33.50,6.60
21-March-2023,2953.00,2974.00,2929.35,2934.35,2954.183558124598587026,7785,1846,22998319.00,2515,32.31,44.65,-18.65
20-March-2023,2979.95,2980.05,2910.00,2952.35,2933.412764235865277637,9887,1597,29002652.00,3468,35.08,70.05,-27.60
17-March-2023,3040.00,3052.00,2944.25,2974.50,2984.294130180036220304,9387,1886,28013569.00,2894,30.83,107.75,-65.50
16-March-2023,3009.00,3080.00,2995.85,3035.40,3043.077567792326381528,61327,3084,186622818.00,48848,79.65,84.15,26.40
15-March-2023,3066.05,3066.05,3000.75,3008.50,3027.958556149732620320,2992,783,9059652.00,1236,41.31,65.30,-57.55
14-March-2023,3049.95,3049.95,2985.65,3010.75,3014.002050861361771944,14628,3073,44088822.00,4283,29.28,64.30,-39.20
13-March-2023,3121.00,3122.95,3026.60,3034.60,3077.588682689382415576,6574,1410,20232068.00,2288,34.80,96.35,-86.40
10-March-2023,3126.40,3146.35,3095.15,3115.45,3111.348244734202607823,39880,1885,124080568.00,36431,91.35,51.20,-10.95
9-March-2023,3204.10,3217.75,3142.60,3147.45,3179.600716495684741898,6141,938,19525928.00,1937,31.54,75.15,-56.65
8-March-2023,3160.00,3210.00,3151.00,3204.05,3185.823445951937572049,11277,2210,35926531.00,4909,43.53,59.00,44.05
6-March-2023,3140.00,3169.10,3131.20,3166.60,3155.279084967320261437,9180,1773,28965462.00,4464,48.63,37.90,26.60
3-March-2023,3131.35,3148.95,3115.00,3129.35,3133.007927070947284978,5046,952,15809158.00,1370,27.15,33.95,-2.00
